timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01/01/2021 00:00;5.496;0.000;2.549
01/01/2021 01:00;5.495;0.000;1.494
01/01/2021 02:00;5.495;0.000;1.365
01/01/2021 03:00;5.495;0.000;1.366
01/01/2021 04:00;5.495;0.000;1.163
01/01/2021 05:00;9.895;0.000;11.339
01/01/2021 06:00;36.869;51.604;29.668
01/01/2021 07:00;10.493;75.253;24.045
01/01/2021 08:00;6.096;79.686;19.901
01/01/2021 09:00;6.094;74.266;15.166
01/01/2021 10:00;6.093;70.727;13.392
01/01/2021 11:00;6.092;67.090;12.504
01/01/2021 12:00;36.864;29.660;18.713
01/01/2021 13:00;10.490;53.005;16.642
01/01/2021 14:00;6.091;59.472;9.550
01/01/2021 15:00;6.091;57.389;8.371
01/01/2021 16:00;6.091;56.765;9.552
01/01/2021 17:00;10.490;47.290;16.647
01/01/2021 18:00;36.866;21.818;23.456
01/01/2021 19:00;45.658;11.877;23.751
01/01/2021 20:00;10.491;47.189;18.427
01/01/2021 21:00;9.896;0.000;13.409
01/01/2021 22:00;9.893;0.000;7.499
01/01/2021 23:00;5.497;0.000;5.735
02/01/2021 00:00;5.495;0.000;2.470
02/01/2021 01:00;5.496;0.000;2.711
02/01/2021 02:00;5.495;0.000;1.777
02/01/2021 03:00;5.495;0.000;1.166
02/01/2021 04:00;5.495;0.000;1.167
02/01/2021 05:00;9.891;0.000;3.200
02/01/2021 06:00;36.860;52.792;8.459
02/01/2021 07:00;10.489;77.880;14.283
02/01/2021 08:00;6.097;81.335;23.158
02/01/2021 09:00;6.097;72.991;22.890
02/01/2021 10:00;6.096;65.569;20.597
02/01/2021 11:00;6.097;58.908;22.106
02/01/2021 12:00;36.866;18.359;22.351
02/01/2021 13:00;10.490;42.114;17.791
02/01/2021 14:00;6.093;49.341;14.249
02/01/2021 15:00;6.092;48.968;11.218
02/01/2021 16:00;6.093;50.263;14.259
02/01/2021 17:00;10.491;40.985;18.312
02/01/2021 18:00;36.867;15.113;25.409
02/01/2021 19:00;45.656;6.924;20.092
02/01/2021 20:00;10.487;42.622;11.230
02/01/2021 21:00;9.895;0.000;10.988
02/01/2021 22:00;9.894;0.000;8.965
02/01/2021 23:00;5.497;0.000;5.437
03/01/2021 00:00;5.496;0.000;3.232
03/01/2021 01:00;5.495;0.000;2.430
03/01/2021 02:00;5.495;0.000;1.917
03/01/2021 03:00;5.495;0.000;1.164
03/01/2021 04:00;5.495;0.000;1.165
03/01/2021 05:00;9.891;0.000;1.920
03/01/2021 06:00;36.859;58.474;5.710
03/01/2021 07:00;10.488;82.875;11.572
03/01/2021 08:00;6.095;86.149;18.292
03/01/2021 09:00;6.097;77.639;24.164
03/01/2021 10:00;6.099;70.070;26.673
03/01/2021 11:00;6.099;61.919;28.054
03/01/2021 12:00;36.867;22.860;24.129
03/01/2021 13:00;10.492;49.071;20.776
03/01/2021 14:00;6.094;55.714;16.301
03/01/2021 15:00;6.093;55.477;14.347
03/01/2021 16:00;6.091;55.327;8.206
03/01/2021 17:00;10.489;45.675;15.473
03/01/2021 18:00;36.865;19.583;20.234
03/01/2021 19:00;45.657;11.774;21.917
