timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01/01/2021 00:00;1.960;4.115;0.854
01/01/2021 01:00;1.961;4.897;0.904
01/01/2021 02:00;1.960;6.145;0.736
01/01/2021 03:00;1.960;7.047;0.969
01/01/2021 04:00;1.960;7.971;0.969
01/01/2021 05:00;3.282;8.108;1.017
01/01/2021 06:00;11.211;27.675;2.404
01/01/2021 07:00;3.284;29.445;4.007
01/01/2021 08:00;1.965;29.678;6.468
01/01/2021 09:00;1.965;27.945;6.398
01/01/2021 10:00;1.964;26.775;5.764
01/01/2021 11:00;1.965;25.452;6.186
01/01/2021 12:00;11.214;20.658;6.256
01/01/2021 13:00;3.285;22.161;4.990
01/01/2021 14:00;1.963;22.977;4.007
01/01/2021 15:00;1.962;22.445;3.167
01/01/2021 16:00;1.963;22.524;4.007
01/01/2021 17:00;3.285;20.798;5.131
01/01/2021 18:00;11.215;18.501;7.102
01/01/2021 19:00;13.856;16.949;5.623
01/01/2021 20:00;3.284;20.832;3.168
01/01/2021 21:00;2.975;0.000;3.100
01/01/2021 22:00;2.975;0.000;2.545
01/01/2021 23:00;1.961;1.944;1.591
02/01/2021 00:00;1.961;3.560;1.027
02/01/2021 01:00;1.960;4.382;0.848
02/01/2021 02:00;1.960;5.386;0.757
02/01/2021 03:00;1.960;6.571;0.925
02/01/2021 04:00;1.960;7.373;0.925
02/01/2021 05:00;3.282;7.991;0.757
02/01/2021 06:00;11.211;26.872;1.659
02/01/2021 07:00;3.284;29.547;3.257
02/01/2021 08:00;1.964;29.589;5.115
02/01/2021 09:00;1.965;28.020;6.747
02/01/2021 10:00;1.966;26.372;7.447
02/01/2021 11:00;1.966;25.055;7.836
02/01/2021 12:00;11.215;19.474;6.745
02/01/2021 13:00;3.286;21.023;5.812
02/01/2021 14:00;1.963;21.845;4.570
02/01/2021 15:00;1.963;21.272;4.027
02/01/2021 16:00;1.962;21.336;2.334
02/01/2021 17:00;3.285;19.585;4.338
02/01/2021 18:00;11.214;17.064;5.658
02/01/2021 19:00;13.857;15.833;6.124
02/01/2021 20:00;3.284;19.868;3.179
02/01/2021 21:00;2.975;0.000;2.950
02/01/2021 22:00;2.975;0.000;2.720
02/01/2021 23:00;1.961;0.804;1.588
03/01/2021 00:00;1.960;2.735;0.871
03/01/2021 01:00;1.960;4.539;0.725
03/01/2021 02:00;1.960;6.171;1.392
03/01/2021 03:00;1.960;7.640;1.395
03/01/2021 04:00;1.960;8.816;0.902
03/01/2021 05:00;3.284;9.570;3.196
03/01/2021 06:00;11.216;28.287;8.282
03/01/2021 07:00;3.286;30.532;6.719
03/01/2021 08:00;1.964;30.534;5.568
03/01/2021 09:00;1.963;28.828;4.255
03/01/2021 10:00;1.963;27.030;3.764
03/01/2021 11:00;1.963;25.155;3.518
03/01/2021 12:00;11.213;19.845;5.237
03/01/2021 13:00;3.285;21.627;4.663
03/01/2021 14:00;1.962;22.505;2.704
03/01/2021 15:00;1.962;22.331;2.381
03/01/2021 16:00;1.962;21.993;2.705
03/01/2021 17:00;3.285;20.130;4.664
03/01/2021 18:00;11.214;17.562;6.553
03/01/2021 19:00;13.857;16.602;6.635
03/01/2021 20:00;3.285;20.517;5.157
03/01/2021 21:00;2.976;0.000;3.766
03/01/2021 22:00;2.975;0.000;2.145
03/01/2021 23:00;1.961;1.691;1.670
04/01/2021 00:00;1.960;3.440;0.874
04/01/2021 01:00;1.960;4.970;0.728
04/01/2021 02:00;1.960;6.130;1.399
04/01/2021 03:00;1.960;7.229;1.400
04/01/2021 04:00;1.960;8.084;0.904
04/01/2021 05:00;3.284;8.959;3.196
04/01/2021 06:00;11.216;27.954;8.282
04/01/2021 07:00;3.286;30.352;6.719
04/01/2021 08:00;1.964;30.547;5.568
04/01/2021 09:00;1.963;29.069;4.255
04/01/2021 10:00;1.963;27.470;3.764
04/01/2021 11:00;1.963;25.291;3.518
04/01/2021 12:00;11.213;20.148;5.238
04/01/2021 13:00;3.285;21.839;4.664
04/01/2021 14:00;1.962;22.770;2.704
04/01/2021 15:00;1.962;22.742;2.381
04/01/2021 16:00;1.962;22.920;2.705
04/01/2021 17:00;3.285;21.254;4.664
04/01/2021 18:00;11.214;18.746;6.553
04/01/2021 19:00;13.857;17.203;6.636
04/01/2021 20:00;3.285;21.422;5.157
04/01/2021 21:00;2.976;0.000;3.766
04/01/2021 22:00;3.283;0.336;2.145
