timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01/01/2021 00:00;2.014;0.000;1.332
01/01/2021 01:00;2.014;0.000;1.391
01/01/2021 02:00;2.014;0.000;1.230
01/01/2021 03:00;2.014;0.000;1.956
01/01/2021 04:00;2.014;0.000;1.958
01/01/2021 05:00;3.625;0.000;1.533
01/01/2021 06:00;13.553;66.282;3.430
01/01/2021 07:00;3.888;70.583;5.685
01/01/2021 08:00;2.278;70.712;9.158
01/01/2021 09:00;2.278;68.243;9.057
01/01/2021 10:00;2.278;66.172;8.162
01/01/2021 11:00;2.278;63.926;8.756
01/01/2021 12:00;13.555;53.370;8.855
01/01/2021 13:00;3.888;58.579;7.067
01/01/2021 14:00;2.277;59.321;5.681
01/01/2021 15:00;2.276;58.531;4.501
01/01/2021 16:00;2.277;58.114;5.683
01/01/2021 17:00;3.888;55.631;7.270
01/01/2021 18:00;13.555;48.583;10.058
01/01/2021 19:00;16.777;45.318;7.967
01/01/2021 20:00;3.887;52.934;4.506
01/01/2021 21:00;3.626;0.000;4.420
01/01/2021 22:00;3.626;0.000;3.638
01/01/2021 23:00;2.014;0.000;2.305
02/01/2021 00:00;2.014;0.000;1.545
02/01/2021 01:00;2.014;0.000;1.326
02/01/2021 02:00;2.014;0.000;1.240
02/01/2021 03:00;2.014;0.000;1.830
02/01/2021 04:00;2.014;0.000;1.832
02/01/2021 05:00;3.625;0.000;1.242
02/01/2021 06:00;13.553;66.821;2.397
02/01/2021 07:00;3.888;71.571;4.634
02/01/2021 08:00;2.277;71.337;7.255
02/01/2021 09:00;2.278;67.187;9.550
02/01/2021 10:00;2.279;63.330;10.527
02/01/2021 11:00;2.279;59.744;11.063
02/01/2021 12:00;13.555;47.649;9.519
02/01/2021 13:00;3.889;52.438;8.202
02/01/2021 14:00;2.277;53.336;6.456
02/01/2021 15:00;2.277;53.000;5.697
02/01/2021 16:00;2.276;53.527;3.327
02/01/2021 17:00;3.888;51.011;6.139
02/01/2021 18:00;13.555;43.880;8.001
02/01/2021 19:00;16.777;41.526;8.662
02/01/2021 20:00;3.887;49.301;4.514
02/01/2021 21:00;3.626;0.000;4.203
02/01/2021 22:00;3.626;0.000;3.881
02/01/2021 23:00;2.014;0.000;2.301
03/01/2021 00:00;2.014;0.000;1.352
03/01/2021 01:00;2.014;0.000;1.266
03/01/2021 02:00;2.014;0.000;2.967
03/01/2021 03:00;2.014;0.000;2.972
03/01/2021 04:00;2.014;0.000;1.768
03/01/2021 05:00;3.626;0.000;4.565
03/01/2021 06:00;13.556;69.045;11.748
03/01/2021 07:00;3.889;73.832;9.535
03/01/2021 08:00;2.278;73.632;7.905
03/01/2021 09:00;2.277;69.544;6.041
03/01/2021 10:00;2.277;65.417;5.342
03/01/2021 11:00;2.277;61.047;4.989
03/01/2021 12:00;13.554;49.449;7.407
03/01/2021 13:00;3.888;55.364;6.600
03/01/2021 14:00;2.276;56.323;3.846
03/01/2021 15:00;2.276;56.508;3.396
03/01/2021 16:00;2.276;56.784;3.851
03/01/2021 17:00;3.888;54.270;6.611
03/01/2021 18:00;13.555;46.959;9.281
03/01/2021 19:00;16.777;44.850;9.401
03/01/2021 20:00;3.888;52.374;7.313
03/01/2021 21:00;3.627;0.000;5.362
03/01/2021 22:00;3.626;0.000;3.078
03/01/2021 23:00;2.015;0.000;2.417
04/01/2021 00:00;2.014;0.000;1.355
04/01/2021 01:00;2.014;0.000;1.270
04/01/2021 02:00;2.014;0.000;2.973
04/01/2021 03:00;2.014;0.000;2.977
04/01/2021 04:00;2.014;0.000;1.770
04/01/2021 05:00;3.626;0.000;4.566
04/01/2021 06:00;13.556;69.586;11.749
04/01/2021 07:00;3.889;74.276;9.535
04/01/2021 08:00;2.278;74.306;7.905
04/01/2021 09:00;2.277;70.869;6.044
04/01/2021 10:00;2.277;66.710;5.346
04/01/2021 11:00;2.277;63.216;4.997
04/01/2021 12:00;13.554;51.870;7.418
04/01/2021 13:00;3.888;56.840;6.607
04/01/2021 14:00;2.276;57.746;3.850
04/01/2021 15:00;2.276;57.740;3.398
04/01/2021 16:00;2.276;58.125;3.853
04/01/2021 17:00;3.888;55.719;6.614
04/01/2021 18:00;13.555;48.437;9.285
