timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01/01/2021 00:00;5.840;0.000;2.143
01/01/2021 01:00;5.837;0.000;1.285
01/01/2021 02:00;5.837;0.000;1.287
01/01/2021 03:00;5.837;0.000;1.288
01/01/2021 04:00;5.838;0.000;1.047
01/01/2021 05:00;9.482;0.000;9.437
01/01/2021 06:00;30.796;4.899;24.698
01/01/2021 07:00;8.554;24.242;20.018
01/01/2021 08:00;4.794;29.169;16.570
01/01/2021 09:00;4.793;27.330;12.630
01/01/2021 10:00;4.792;26.107;11.153
01/01/2021 11:00;4.792;24.820;10.414
01/01/2021 12:00;30.934;0.000;15.579
01/01/2021 13:00;8.551;16.597;13.857
01/01/2021 14:00;4.791;22.202;7.956
01/01/2021 15:00;4.790;21.645;6.976
01/01/2021 16:00;4.791;21.562;7.958
01/01/2021 17:00;8.551;15.125;13.861
01/01/2021 18:00;30.938;0.000;19.527
01/01/2021 19:00;38.219;0.000;19.769
01/01/2021 20:00;9.330;14.078;15.344
01/01/2021 21:00;9.488;0.000;11.162
01/01/2021 22:00;9.485;0.000;6.248
01/01/2021 23:00;5.844;0.000;4.782
02/01/2021 00:00;5.844;0.000;2.078
02/01/2021 01:00;5.844;0.000;2.276
02/01/2021 02:00;5.844;0.000;1.512
02/01/2021 03:00;5.844;0.000;1.063
02/01/2021 04:00;5.844;0.000;1.063
02/01/2021 05:00;9.485;0.000;2.679
02/01/2021 06:00;30.791;4.724;7.050
02/01/2021 07:00;8.551;24.493;11.896
02/01/2021 08:00;4.795;29.107;19.282
02/01/2021 09:00;4.795;25.549;19.058
02/01/2021 10:00;4.794;22.479;17.148
02/01/2021 11:00;4.795;19.352;18.401
02/01/2021 12:00;30.927;0.000;18.600
02/01/2021 13:00;8.550;9.447;14.809
02/01/2021 14:00;4.792;15.810;11.863
02/01/2021 15:00;4.791;16.354;9.342
02/01/2021 16:00;4.792;17.328;11.872
02/01/2021 17:00;8.551;11.022;15.245
02/01/2021 18:00;30.933;0.000;21.147
02/01/2021 19:00;38.214;0.000;16.721
02/01/2021 20:00;9.323;9.962;9.354
02/01/2021 21:00;9.482;0.000;9.147
02/01/2021 22:00;9.482;0.000;7.466
02/01/2021 23:00;5.841;0.000;4.534
03/01/2021 00:00;5.842;0.000;2.707
03/01/2021 01:00;5.843;0.000;2.045
03/01/2021 02:00;5.845;0.000;1.626
03/01/2021 03:00;5.846;0.000;1.053
03/01/2021 04:00;5.846;0.000;1.054
03/01/2021 05:00;9.489;0.000;1.627
03/01/2021 06:00;30.792;5.195;4.765
03/01/2021 07:00;8.551;24.842;9.641
03/01/2021 08:00;4.794;29.517;15.233
03/01/2021 09:00;4.796;25.798;20.120
03/01/2021 10:00;4.796;23.017;22.206
03/01/2021 11:00;4.797;19.076;23.353
03/01/2021 12:00;30.932;0.000;20.082
03/01/2021 13:00;8.552;12.051;17.296
03/01/2021 14:00;4.793;17.485;13.572
03/01/2021 15:00;4.792;18.333;11.947
03/01/2021 16:00;4.790;18.951;6.838
03/01/2021 17:00;8.551;12.668;12.885
03/01/2021 18:00;30.936;0.000;16.844
03/01/2021 19:00;38.220;0.000;18.243
03/01/2021 20:00;9.328;12.295;9.399
03/01/2021 21:00;9.489;0.000;8.705
03/01/2021 22:00;9.489;0.000;8.009
03/01/2021 23:00;5.848;0.000;4.535
04/01/2021 00:00;5.847;0.000;2.146
04/01/2021 01:00;5.848;0.000;1.290
04/01/2021 02:00;5.848;0.000;1.294
04/01/2021 03:00;5.848;0.000;1.295
04/01/2021 04:00;5.848;0.000;1.053
04/01/2021 05:00;9.493;0.000;9.452
04/01/2021 06:00;30.800;5.796;24.731
04/01/2021 07:00;8.555;25.372;20.045
04/01/2021 08:00;4.794;30.188;16.592
04/01/2021 09:00;4.793;27.928;12.642
04/01/2021 10:00;4.792;25.572;11.160
04/01/2021 11:00;4.792;23.442;10.417
04/01/2021 12:00;30.934;0.000;15.579
04/01/2021 13:00;8.551;14.648;13.857
04/01/2021 14:00;4.791;20.462;7.956
04/01/2021 15:00;4.790;20.630;6.976
04/01/2021 16:00;4.791;21.153;7.960
04/01/2021 17:00;8.552;14.815;13.865
04/01/2021 18:00;30.939;0.000;19.531
04/01/2021 19:00;38.221;0.000;19.776
04/01/2021 20:00;9.331;14.223;15.349
04/01/2021 21:00;9.491;0.000;11.167
04/01/2021 22:00;9.489;0.000;6.252
04/01/2021 23:00;5.849;0.000;4.786
05/01/2021 00:00;5.848;0.000;2.147
05/01/2021 01:00;5.849;0.000;1.290
05/01/2021 02:00;5.850;0.000;1.297
05/01/2021 03:00;5.850;0.000;1.298
05/01/2021 04:00;5.851;0.000;1.055
05/01/2021 05:00;9.495;0.000;9.456
05/01/2021 06:00;30.801;8.339;24.742
05/01/2021 07:00;8.555;27.886;20.055
05/01/2021 08:00;4.794;32.505;16.599
05/01/2021 09:00;4.793;29.809;12.648
05/01/2021 10:00;4.792;26.871;11.164
05/01/2021 11:00;4.792;24.702;10.421
05/01/2021 12:00;30.936;0.000;15.587
05/01/2021 13:00;8.551;16.221;13.863
05/01/2021 14:00;4.791;22.131;7.961
05/01/2021 15:00;4.790;22.183;6.981
05/01/2021 16:00;4.791;22.471;7.965
05/01/2021 17:00;8.552;16.168;13.872
05/01/2021 18:00;30.941;0.000;19.542
05/01/2021 19:00;38.224;0.000;19.789
05/01/2021 20:00;9.334;16.087;15.357
05/01/2021 21:00;9.495;0.000;11.174
05/01/2021 22:00;9.493;0.000;6.256
05/01/2021 23:00;5.853;0.000;4.789
06/01/2021 00:00;5.852;0.000;2.149
06/01/2021 01:00;5.852;0.000;1.292
06/01/2021 02:00;5.853;0.000;1.300
06/01/2021 03:00;5.853;0.000;1.301
06/01/2021 04:00;5.854;0.000;1.057
06/01/2021 05:00;9.498;0.000;9.461
06/01/2021 06:00;30.802;11.126;24.752
06/01/2021 07:00;8.555;29.980;20.061
06/01/2021 08:00;4.794;34.501;16.605
06/01/2021 09:00;4.793;33.329;12.657
06/01/2021 10:00;4.792;31.824;11.177
06/01/2021 11:00;4.792;30.413;10.437
06/01/2021 12:00;31.181;3.397;15.613
06/01/2021 13:00;8.552;19.667;13.879
06/01/2021 14:00;4.791;24.595;7.967
06/01/2021 15:00;4.790;24.330;6.984
06/01/2021 16:00;4.791;24.973;7.969
06/01/2021 17:00;8.552;18.866;13.879
06/01/2021 18:00;30.944;0.000;19.552
06/01/2021 19:00;38.226;0.000;19.798
06/01/2021 20:00;9.336;19.262;15.364
06/01/2021 21:00;9.498;0.000;11.180
06/01/2021 22:00;9.496;0.000;6.260
06/01/2021 23:00;5.856;0.000;4.792
07/01/2021 00:00;5.856;0.000;2.151
07/01/2021 01:00;5.856;0.000;1.295
07/01/2021 02:00;5.858;0.000;1.306
07/01/2021 03:00;5.858;0.000;1.307
07/01/2021 04:00;5.859;0.000;1.060
07/01/2021 05:00;9.504;0.000;9.470
07/01/2021 06:00;30.804;17.435;24.770
07/01/2021 07:00;8.556;35.746;20.077
07/01/2021 08:00;4.794;39.907;16.619
07/01/2021 09:00;4.793;36.356;12.662
07/01/2021 10:00;4.792;34.669;11.180
07/01/2021 11:00;4.792;31.511;10.437
07/01/2021 12:00;31.179;2.587;15.608
07/01/2021 13:00;8.552;20.819;13.878
07/01/2021 14:00;4.791;27.276;7.970
07/01/2021 15:00;4.790;27.384;6.990
07/01/2021 16:00;4.791;27.697;7.975
07/01/2021 17:00;8.553;21.124;13.888
