Name,Af_m2,Aroof_m2,GFA_m2,Aocc_m2,people0,E_sys_MWhyr,Qhs_sys_MWhyr,Qww_sys_MWhyr,E_sys0_kW,Qhs_sys0_kW,Qww_sys0_kW
B1000,771.813,941.240,1882.470,1543.626,308.000,24.818,89.284,0.000,13.979,124.237,0.000
B1002,1725.935,522.610,2630.999,2157.419,123.000,104.795,109.899,8.892,40.867,193.365,4.842
B1003,4988.684,1216.910,7300.513,5986.421,342.000,299.827,3.295,19.443,119.354,131.811,10.777
B1004,5308.112,1078.840,7552.191,6192.797,165.000,131.772,173.075,132.511,55.044,154.254,35.622
B1005,7469.604,3036.370,12145.698,9959.472,265.000,219.807,537.222,217.896,90.312,1199.916,58.858
B1006,2889.612,704.780,4228.700,3467.534,198.000,173.757,8.643,12.152,69.261,108.899,6.744
B1007,4705.012,1147.590,6885.384,5646.015,150.000,120.099,174.179,120.066,50.154,148.653,32.227
B1008,19771.525,1832.740,25966.355,21292.411,567.000,451.783,423.023,436.829,189.114,440.693,117.612
B1009,8603.846,1748.430,12241.244,10037.820,267.000,214.251,333.770,210.556,89.387,280.700,56.675
B1010,10509.066,2135.940,14951.922,12260.576,326.000,261.149,403.934,253.274,109.004,338.943,68.122
B1011,4401.457,896.720,6262.235,5135.033,137.000,109.343,153.459,111.009,45.658,133.458,29.811
B1012,4586.108,1119.620,6711.377,5503.329,314.000,267.536,105.851,18.415,104.769,320.560,10.020
B1013,7940.172,1210.450,10893.529,8932.694,238.000,190.140,243.162,187.975,79.429,219.816,50.566
B1014,3544.326,858.690,5186.819,4253.191,113.000,95.313,38.141,92.311,38.487,54.841,24.839
B1015,4414.624,1345.980,6729.610,5518.280,146.000,117.353,166.149,117.393,49.008,140.990,31.531
B1018,40.213,49.180,98.079,80.425,0.000,0.724,0.000,0.000,0.207,0.000,0.000
